Country,Sex,ageStart,ageGroup,ageLabel,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,Females,25,25-29,From 25 to 29 years,344823,335393,327879,324117,323553,325588,332571,338195,342257,344963,346448,349328,350140,351745,355020,358306,364626,368267,371190
Belgium,Females,30,30-34,From 30 to 34 years,374332,368969,366985,365635,361880,355929,348529,342423,340275,342202,346856,358207,363420,366551,366267,366229,364035,363382,364004
Belgium,Females,35,35-39,From 35 to 39 years,400595,400724,398800,394835,388537,381393,378295,376643,376623,373829,369716,365388,359898,357161,357483,360436,367675,371693,374272
Belgium,Females,40,40-44,From 40 to 44 years,384843,388133,392962,396665,400296,403202,404757,403075,399990,394900,388931,388364,387281,386701,382811,377657,370423,364364,361458
Belgium,Females,45,45-49,From 45 to 49 years,353118,358338,365508,370937,377481,384131,388582,393835,397943,402081,406241,409339,407865,404288,398989,392497,389777,388143,387468
Belgium,Females,50,50-54,From 50 to 54 years,334404,343509,342453,343888,345395,350288,356034,363189,368995,375940,383358,389431,394713,398351,402032,405372,406528,404543,401125
Belgium,Females,55,55-59,From 55 to 59 years,259531,266485,288917,307572,320295,328880,338074,337210,339036,340669,345976,352844,360033,365434,371706,378368,382869,387786,391583
Belgium,Females,60,60-64,From 60 to 64 years,271708,267344,258097,252118,250534,252725,259600,281586,299740,312151,320806,330191,329368,330798,332025,336658,342052,348810,354131
Belgium,Females,65,65-69,From 65 to 69 years,278918,272077,265931,261097,261357,261048,257349,248394,242678,241082,243092,249981,270960,287864,299382,307189,315428,314289,315762
Belgium,Females,70,70-74,From 70 to 74 years,258179,260119,262021,264370,262916,261133,254932,249887,245790,246275,246162,242993,234367,228605,226901,228695,234871,254628,270364
Belgium,Females,75,75-79,From 75 to 79 years,228643,229349,229285,228956,228245,228470,231460,233919,236843,235946,234829,230056,226090,222619,223311,223451,220199,212178,207322
Belgium,Females,80,80-84,From 80 to 84 years,111732,124115,140125,156162,171851,180782,182286,183385,184251,184717,185887,189197,192305,195182,195157,195092,191596,188985,186976
Belgium,Females,85,85,85 years or over,138484,136937,132616,126081,119744,121820,130753,140094,149230,157678,165974,174111,181646,186608,191818,198577,204660,211290,216825
Belgium,Males,1,1-4,From 1 to 4 years,294737,294709,294001,292567,291821,294007,296868,301840,307172,316089,321754,330184,332966,333699,331520,329680,326524,322992,318866
Belgium,Males,5,5-9,From 5 to 9 years,317666,312335,307745,303988,301694,300733,302269,302160,301395,301683,304872,310560,315140,321121,328056,333280,338904,341304,342448
Belgium,Males,10,10-14,From 10 to 14 years,310885,316174,320927,324907,325086,322751,319008,314678,311519,309986,309825,313738,313562,312189,312015,314326,317530,322222,328281
Belgium,Males,15,15-19,From 15 to 19 years,313851,310032,308548,308920,311969,316197,323106,328310,332870,333564,332183,331790,328574,324983,321869,320829,325646,324580,323197
Belgium,Males,20,20-24,From 20 to 24 years,317805,320725,324242,326231,325731,322980,320284,319982,321424,326344,331542,344647,350507,354898,353686,351908,351721,346753,342874
Belgium,Males,25,25-29,From 25 to 29 years,353412,342700,335226,330683,328486,330174,335194,340168,343935,346023,345261,351045,351170,352459,354157,357776,366995,370223,373749
Belgium,Males,30,30-34,From 30 to 34 years,386574,379977,377070,374781,370439,363568,354866,348958,346326,346948,351200,364728,368548,371237,369993,367501,366115,364079,364545
